,소재지전체주소,사업장명,업태구분명,지역
5134,서울특별시 종로구 도렴동 60번지 지하1층 16호호,꼬꼬 뚝 닭,호프/통닭,도렴동
5139,서울특별시 종로구 관수동 161-12번지 지상1층 ,치킨랲,통닭(치킨),관수동
5148,서울특별시 종로구 돈의동 37 삼창빌딩 ,익선동 노가리마켓,호프/통닭,돈의동
5155,서울특별시 종로구 낙원동 127-3 ,거북슈퍼,호프/통닭,낙원동
5168,서울특별시 종로구 관철동 13-2 ,비어8톤 1층,호프/통닭,관철동
5172,서울특별시 종로구 옥인동 110 ,영광통닭 더하기,호프/통닭,옥인동
5200,서울특별시 종로구 관철동 10-23번지 1층 ,등촌샤브칼국수,호프/통닭,관철동
5210,서울특별시 종로구 동숭동 1-63 ,대학로에 취하다 혜화역 본점,호프/통닭,동숭동
5247,서울특별시 종로구 숭인동 296-21번지 ,호식이 두마리 치킨(숭인점),통닭(치킨),숭인동
5262,서울특별시 종로구 관철동 19-1 해덕빌딩 ,역전할머니맥주 종각역점,호프/통닭,관철동
5266,서울특별시 종로구 창신동 23-76번지 브라운스톤 창신 ,파파푸드 종로점,호프/통닭,창신동
5267,서울특별시 종로구 수송동 16-1 ,명가원,호프/통닭,수송동
5284,서울특별시 종로구 창신동 81-9번지 ,호프47번가,호프/통닭,창신동
5291,서울특별시 종로구 창신동 23-76번지 브라운스톤 창신 ,또봉이통닭 창신역점,호프/통닭,창신동
5294,서울특별시 종로구 신문로2가 25번지 ,서궁,호프/통닭,신문로2가
5332,서울특별시 종로구 명륜4가 61-3 ,레빗(Rabbit),호프/통닭,명륜4가
5347,서울특별시 종로구 동숭동 1-105 ,비비큐 대학로점,호프/통닭,동숭동
5386,서울특별시 종로구 숭인동 1047 1층 ,천사호프,호프/통닭,숭인동
5387,서울특별시 종로구 창신동 519-1 2층 ,라온커피호프,호프/통닭,창신동
5443,서울특별시 종로구 돈의동 37 삼창빌딩 ,하이(Hi),호프/통닭,돈의동
5457,서울특별시 종로구 창신동 212 ,종로통닭,호프/통닭,창신동
5479,서울특별시 종로구 창신동 213 ,종로통닭,호프/통닭,창신동
5507,서울특별시 종로구 숭인동 397 1층 ,95&96(감성포차),통닭(치킨),숭인동
5518,서울특별시 종로구 창신동 330-2 ,굽네치킨(동대문역점),호프/통닭,창신동
5541,서울특별시 종로구 숭인동 326번지 이화장여관 ,브라이트 사이드(BRIGHT SIDE),호프/통닭,숭인동
5677,서울특별시 종로구 행촌동 209-69 대신빌딩 1층 ,비에이치씨(BHC) 독립문역점,호프/통닭,행촌동
5681,서울특별시 종로구 창신동 582-29 ,인생 닭강정,호프/통닭,창신동
5682,서울특별시 종로구 운니동 98-20 로얄창덕궁빌딩 702호,비어있는 삶,호프/통닭,운니동
5737,서울특별시 종로구 관철동 19-22 ,해도지 맛집,호프/통닭,관철동
5748,서울특별시 종로구 동숭동 1-61 1층 ,생활맥주 대학로마로니에점,호프/통닭,동숭동
5794,서울특별시 종로구 관철동 18-3 ,아리계곡 종각점 2호,호프/통닭,관철동
5811,서울특별시 종로구 돈의동 46-1 ,인쌩맥주(익선점),호프/통닭,돈의동
5840,서울특별시 종로구 관철동 12-15번지 (3층) ,소소 종로점,호프/통닭,관철동
5880,서울특별시 종로구 창신동 138-89번지 지하1층 ,무공유통,통닭(치킨),창신동
5887,서울특별시 종로구 당주동 171번지 (지상1층) ,오븐에 빠진닭,통닭(치킨),당주동
5929,서울특별시 종로구 종로5가 42-1 신화빌딩 ,옥이네,호프/통닭,종로5가
5938,서울특별시 종로구 내자동 197 ,효도치킨 광화문점,호프/통닭,내자동
5941,"서울특별시 종로구 창신동 176 1,2층 ",멕시카나 동대문역점,호프/통닭,창신동
5966,서울특별시 종로구 관철동 19-4 1~2층 ,금별맥주 종로점,호프/통닭,관철동
5971,서울특별시 종로구 화동 87-1 2층 ,홈브루하우스(MYBL HOMEBREW HAUS),호프/통닭,화동
6032,서울특별시 종로구 창신동 581-21 ,이서진의 맛집,호프/통닭,창신동
6036,서울특별시 종로구 숭인동 72-86 ,문문,호프/통닭,숭인동
6071,서울특별시 종로구 누하동 31 1층 ,서촌주점(서촌酒점),호프/통닭,누하동
6085,"서울특별시 종로구 종로5가 398-20 1,2층 ",라거스팟 광장시장,호프/통닭,종로5가
6088,서울특별시 종로구 낙원동 159 대원빌딩 1층 ,타이거(Tiger),호프/통닭,낙원동
6233,서울특별시 종로구 명륜2가 116 ,가마치통닭 성대점,호프/통닭,명륜2가
6238,서울특별시 종로구 내자동 163 2층 ,재즈레터,호프/통닭,내자동
