,소재지전체주소,사업장명,업태구분명,지역
16537,서울특별시 종로구 관철동 7-11번지 지상 3층 ,맘모스 고기부페,호프/통닭,관철동
16538,서울특별시 종로구 종로2가 8-4번지 1층 ,만선,호프/통닭,종로2가
16546,서울특별시 종로구 명륜2가 202 ,야꼬닭,호프/통닭,명륜2가
16553,서울특별시 종로구 숭인동 1198 (지상1층) ,엄지척 포차,호프/통닭,숭인동
16596,서울특별시 종로구 관철동 180번지 스타골드빌딩 ,벚꽃 야시장,호프/통닭,관철동
16666,서울특별시 종로구 무악동 45-379번지 (지상1층) ,쌀이라면,호프/통닭,무악동
16691,서울특별시 종로구 종로5가 182-2번지 2층 ,궁,호프/통닭,종로5가
16693,"서울특별시 종로구 혜화동 178-1 2,3층 ",마나술루,호프/통닭,혜화동
16700,서울특별시 종로구 숭인동 72-70번지 지상1층 ,호야치킨,통닭(치킨),숭인동
16706,서울특별시 종로구 명륜3가 16번지 (지하1층) ,미쳐버린 파닭,통닭(치킨),명륜3가
16741,서울특별시 종로구 낙원동 82-3 ,별난집,호프/통닭,낙원동
16745,서울특별시 종로구 통인동 147-2번지 (지상1층) ,서촌강정&치킨,통닭(치킨),통인동
16774,서울특별시 종로구 돈의동 10번지 지상1층 ,종로 맛소리,호프/통닭,돈의동
16775,서울특별시 종로구 관철동 11-24번지 ,자이안트,호프/통닭,관철동
16826,서울특별시 종로구 숭인동 200-8번지 3층 ,알로알로,호프/통닭,숭인동
16862,서울특별시 종로구 창신동 263번지 지상3층 ,타워치킨 동묘점,호프/통닭,창신동
17024,서울특별시 종로구 창신동 580-7번지 ,고짱,호프/통닭,창신동
17056,서울특별시 종로구 효제동 65-2번지 ,단미,호프/통닭,효제동
17089,서울특별시 종로구 명륜1가 16-31번지 ,내내치킨,호프/통닭,명륜1가
17107,서울특별시 종로구 신영동 44번지 지상1층 ,또래오래치킨,통닭(치킨),신영동
17113,"서울특별시 종로구 당주동 145번지 롯데미도파빌딩 지하52호,53호 ",미도호프식당,호프/통닭,당주동
17123,서울특별시 종로구 숭인동 226-2번지 지상1층 ,오아시스,호프/통닭,숭인동
17141,서울특별시 종로구 종로4가 5번지 (지하2층) ,오비호프,호프/통닭,종로4가
17204,서울특별시 종로구 당주동 171번지 1층 ,오븐에 빠진닭,통닭(치킨),당주동
17218,서울특별시 종로구 신문로1가 58-1번지 외3필지 ,하얀돌,호프/통닭,신문로1가
17221,서울특별시 종로구 원남동 225-4 지상1층 ,멕시카나치킨,호프/통닭,원남동
17259,서울특별시 종로구 충신동 2 지상1층 ,클립,호프/통닭,충신동
17291,서울특별시 종로구 숭인동 682번지 ,대아,호프/통닭,숭인동
17293,서울특별시 종로구 평창동 299-1번지 (지상1층) ,리더스,호프/통닭,평창동
17310,서울특별시 종로구 명륜1가 97-5 2층 ,사천포차,호프/통닭,명륜1가
17327,서울특별시 종로구 숭인동 189번지 (지하1층) ,샤론술통,호프/통닭,숭인동
17352,서울특별시 종로구 혜화동 143-2번지 지상1층 ,치킨매니아 대학로점,통닭(치킨),혜화동
17370,서울특별시 종로구 통인동 141-2 지상1층 ,이화,호프/통닭,통인동
17393,서울특별시 종로구 명륜4가 72-4번지 ,지짐이호프,호프/통닭,명륜4가
17479,"서울특별시 종로구 익선동 148번지 지상1층, 1호 ",바모스,호프/통닭,익선동
17480,서울특별시 종로구 평창동 151-2번지 지상1층 ,비엠,호프/통닭,평창동
17490,서울특별시 종로구 창신동 266-2번지 ,못난이 닭강정,통닭(치킨),창신동
17502,서울특별시 종로구 창신동 582-3 지상1층 ,부어치킨 창신점,통닭(치킨),창신동
17631,서울특별시 종로구 동숭동 1-87 2층 ,샴,호프/통닭,동숭동
17685,서울특별시 종로구 돈의동 166 1층 ,물방,호프/통닭,돈의동
17687,서울특별시 종로구 관철동 11-1번지 ,종로선술집,호프/통닭,관철동
17752,서울특별시 종로구 낙원동 158번지 1층 ,도모,호프/통닭,낙원동
17769,서울특별시 종로구 창신동 580-3번지 ,황제,호프/통닭,창신동
17820,서울특별시 종로구 평동 43 경희궁자이 3단지 ,낭만치맥 서대문점,호프/통닭,평동
17827,서울특별시 종로구 관철동 14-8번지 ,레드컨테이너 카페 종로점,호프/통닭,관철동
17847,서울특별시 종로구 명륜1가 15-1번지 ,아벡데프리츠,호프/통닭,명륜1가
17852,서울특별시 종로구 효제동 233-1번지 ,궁전카페,호프/통닭,효제동
17863,서울특별시 종로구 무악동 46-1419번지 지상1층 ,이타리아치킨,통닭(치킨),무악동
17889,서울특별시 종로구 명륜2가 21-9 ,비비큐치킨,호프/통닭,명륜2가
17921,서울특별시 종로구 명륜2가 222 ,달려라 봉쥬비어,호프/통닭,명륜2가
17955,서울특별시 종로구 숭인동 766번지 ,또바기치킨숭인동점,통닭(치킨),숭인동
17975,서울특별시 종로구 숭인동 1410 (지상1층) ,깜닭치킨(숭인점),통닭(치킨),숭인동
18020,"서울특별시 종로구 체부동 30번지 (지상1층,30,31번지) ",도버메이드,호프/통닭,체부동
18043,서울특별시 종로구 관철동 19-1번지 4층 ,와바호프,호프/통닭,관철동
18093,서울특별시 종로구 혜화동 190-1번지 지상1층 ,홈런포차,호프/통닭,혜화동
18097,서울특별시 종로구 낙원동 55-1번지 ,브라더스,호프/통닭,낙원동
18148,서울특별시 종로구 동숭동 1-114 (3층) ,아맛나슈퍼 이구포차 마로니에,호프/통닭,동숭동
18171,서울특별시 종로구 종로5가 332-14 ,힐,호프/통닭,종로5가
18189,서울특별시 종로구 명륜4가 59-3번지 ,맥주하우스,호프/통닭,명륜4가
18194,서울특별시 종로구 숭인동 390-1 ,산채만두전문점,호프/통닭,숭인동
18220,서울특별시 종로구 명륜2가 142-2번지 ,라르고,호프/통닭,명륜2가
18222,서울특별시 종로구 명륜2가 21-26 ,두 죽,호프/통닭,명륜2가
18308,서울특별시 종로구 숭인동 396 ,쭌이생호프,호프/통닭,숭인동
18337,서울특별시 종로구 창신동 80-3 ,별난청춘포차,호프/통닭,창신동
18342,서울특별시 종로구 관철동 11-5번지 ,(주)제너시스 비비큐 프리미엄 카페 종로관철점,통닭(치킨),관철동
18343,서울특별시 종로구 충신동 27-17번지 (지상1층) ,보보스,호프/통닭,충신동
18344,서울특별시 종로구 충신동 35-9번지 지상1층 ,미림,호프/통닭,충신동
18387,서울특별시 종로구 구기동 110-7 지상2층 ,광,호프/통닭,구기동
18394,서울특별시 종로구 숭인동 1399 지상2층 ,어른이대공원,호프/통닭,숭인동
18430,서울특별시 종로구 동숭동 1-60번지 ,헤이판,호프/통닭,동숭동
18552,서울특별시 종로구 낙원동 159 (지상4층) ,루트,호프/통닭,낙원동
18553,서울특별시 종로구 명륜2가 184번지 지하1층 ,달빛한모금,호프/통닭,명륜2가
18569,서울특별시 종로구 관철동 42-4번지 지하1층 ,다트 팩토리,호프/통닭,관철동
18591,서울특별시 종로구 창신동 580-3번지 ,새벽닭,통닭(치킨),창신동
18603,서울특별시 종로구 인사동 99번지 (지상1층) ,미리내,호프/통닭,인사동
18615,서울특별시 종로구 창신동 464-8번지 ,라이브호프,호프/통닭,창신동
18701,서울특별시 종로구 명륜4가 90번지 ,강정애퐁,통닭(치킨),명륜4가
18727,서울특별시 종로구 청진동 191-2번지 ,청진영양센타,통닭(치킨),청진동
18746,서울특별시 종로구 관철동 14-3 지하1층 ,달려라 봉쥬비어,호프/통닭,관철동
18763,서울특별시 종로구 숭인동 190-1번지 1층 ,대박주막골,호프/통닭,숭인동
18766,서울특별시 종로구 관수동 68 지상2층 ,계동치킨,통닭(치킨),관수동
18768,서울특별시 종로구 종로5가 193-11번지 (지상2층) ,약속호프,호프/통닭,종로5가
18773,서울특별시 종로구 내자동 1-2번지 1층 ,열정 골뱅이,호프/통닭,내자동
18782,서울특별시 종로구 창신동 20-10번지 ,카페이그니이트,호프/통닭,창신동
18783,서울특별시 종로구 숭인동 177-2 ,맥주창고,호프/통닭,숭인동
18806,서울특별시 종로구 동숭동 1-83번지 ,더후라이팬,통닭(치킨),동숭동
18809,서울특별시 종로구 명륜2가 211번지 지상4층 ,캠브리지,호프/통닭,명륜2가
18810,서울특별시 종로구 관수동 89 지상 2층 ,라인강,호프/통닭,관수동
18811,서울특별시 종로구 창신동 498번지 (2층) ,이가우육면,호프/통닭,창신동
18852,서울특별시 종로구 내수동 95 ,네네치킨 광화문점,통닭(치킨),내수동
18922,서울특별시 종로구 홍지동 46-1 지상1층 ,화수미,호프/통닭,홍지동
18938,서울특별시 종로구 원남동 225-6번지 지상1층 ,레인보우,호프/통닭,원남동
18945,서울특별시 종로구 평창동 596번지 ,에펠탑,통닭(치킨),평창동
18948,서울특별시 종로구 숭인동 759 1층 ,언니네 포차,통닭(치킨),숭인동
18952,서울특별시 종로구 혜화동 74-38번지 ,닭이네,통닭(치킨),혜화동
18961,서울특별시 종로구 관철동 19-6번지 지상2층 ,라디오 시어터,호프/통닭,관철동
18988,서울특별시 종로구 누상동 32-2번지 지상 1층 ,서촌봉닭,통닭(치킨),누상동
19002,서울특별시 종로구 평창동 301-1 ,평창동 STORY(스토리),호프/통닭,평창동
19003,서울특별시 종로구 교북동 101번지 ,"건달요리(닭어사, 못말리는파닭)",통닭(치킨),교북동
19023,서울특별시 종로구 평창동 195-1 ,위드치킨,호프/통닭,평창동
19038,서울특별시 종로구 평창동 150-5번지 ,유케이 (U K),호프/통닭,평창동
19046,"서울특별시 종로구 청진동 92번지 지하1층, 그랑서울 107호",피카 익스프레스,호프/통닭,청진동
19081,서울특별시 종로구 명륜2가 150-2번지 지상2층 ,FRIENDS(프랜즈),호프/통닭,명륜2가
19088,서울특별시 종로구 명륜3가 1-1145 ,멕시카나 성대 혜화점,호프/통닭,명륜3가
19116,서울특별시 종로구 창신동 391-6 ,계,호프/통닭,창신동
19122,서울특별시 종로구 돈의동 34 ,빈티지(VINTAGE),호프/통닭,돈의동
19142,서울특별시 종로구 동숭동 25-5 ,깐부치킨,호프/통닭,동숭동
19144,서울특별시 종로구 봉익동 12-8번지 ,미니커피숍,호프/통닭,봉익동
19172,서울특별시 종로구 청진동 70 그랑서울 제타워1 309호,비비큐(BBQ)롤파크점,호프/통닭,청진동
19177,서울특별시 종로구 낙원동 58-1 종로오피스텔 101~103호 ,모트세,호프/통닭,낙원동
19184,서울특별시 종로구 관수동 26 ,신의혼밥 종로점,호프/통닭,관수동
19185,서울특별시 종로구 홍파동 199 경희궁자이 2단지 ,푸라닭 독립문역점,호프/통닭,홍파동
19225,서울특별시 종로구 돈의동 37번지 지하1층 ,팝콘,호프/통닭,돈의동
19232,서울특별시 종로구 청진동 209-1번지 양지빌딩 5층 ,종로농아,호프/통닭,청진동
19257,서울특별시 종로구 동숭동 1-92 (태원빌딩 3층) ,꾸미,호프/통닭,동숭동
19266,서울특별시 종로구 관철동 14-3번지 지상 4층 ,와타시,호프/통닭,관철동
19288,서울특별시 종로구 연건동 197-6번지 ,작은공간,호프/통닭,연건동
19297,서울특별시 종로구 동숭동 1-87번지 ,1번가 비어캐슬,호프/통닭,동숭동
19326,서울특별시 종로구 명륜2가 161-10번지 지상1층 ,연지호프,호프/통닭,명륜2가
19438,"서울특별시 종로구 명륜2가 33-2번지 지상1,2층 ",치킨뱅이,통닭(치킨),명륜2가
19570,서울특별시 종로구 숭인동 1248 ,#무궁화,호프/통닭,숭인동
19618,서울특별시 종로구 무악동 45-19 ,아백치킨,호프/통닭,무악동
19672,서울특별시 종로구 관철동 13-1 (지상1층) ,유가네 닭갈비,통닭(치킨),관철동
19677,서울특별시 종로구 청진동 246 D타워 ,효도치킨 디타워점,호프/통닭,청진동
19715,서울특별시 종로구 창신동 130-70 동광그린빌라 제지하3층 제3비01호,상감치킨,호프/통닭,창신동
19727,서울특별시 종로구 숭인동 56-42번지 중앙빌딩 1층 ,땡큐맘 치킨,통닭(치킨),숭인동
19736,서울특별시 종로구 공평동 17 (지상2층) ,가연,호프/통닭,공평동
19740,서울특별시 종로구 교남동 47번지 (지상1층) ,명월,호프/통닭,교남동
19741,서울특별시 종로구 창신동 23-74번지 지상1층 ,OK치킨,통닭(치킨),창신동
19744,서울특별시 종로구 동숭동 1-96번지 4층 ,시즌2 상하이객잔,호프/통닭,동숭동
19746,서울특별시 종로구 효제동 65-2번지 지상2층 ,만남의 광장,호프/통닭,효제동
19764,서울특별시 종로구 창신동 583-19번지 (1층) ,썬더치킨,통닭(치킨),창신동
19769,서울특별시 종로구 통의동 67-2번지 (2층) ,홍탁촌,호프/통닭,통의동
19782,서울특별시 종로구 봉익동 8-1번지 (지상1층) ,기와집칼국수,통닭(치킨),봉익동
19805,서울특별시 종로구 부암동 208-39번지 (1층) ,부암동주식(부암동酒食),호프/통닭,부암동
19811,서울특별시 종로구 중학동 14번지 트윈트리 A동 B202호 ,에디스 비(eddys B),호프/통닭,중학동
19841,서울특별시 종로구 소격동 144-6번지 ,천진포자,호프/통닭,소격동
19843,서울특별시 종로구 명륜2가 184번지 ,호프팅,통닭(치킨),명륜2가
19873,서울특별시 종로구 통인동 94-1 ,지금이서촌,호프/통닭,통인동
19885,서울특별시 종로구 낙원동 232 ,피피피(PPP),호프/통닭,낙원동
19977,서울특별시 종로구 창신동 438-14 ,감성 꼬꼬 포차,호프/통닭,창신동
